,구별,위도,경도,푸드트럭운영대수
151,천제연폭포주차장,33.2526765845,126.4183754156,1.0
154,문화시설,34.9676735966,127.486752521,0.0
155,유원시설,34.969413200000005,127.48726119999999,1.0
156,만안구청,37.3866427218,126.9324066057,1.0
157,안양종합운동장,37.405145536199996,126.9452343077,8.0
164,여주종합운동장,37.2932681617,127.62446542209999,1.0
165,여주프리미엄아울렛,37.2459480522,127.6123847586,10.0
166,375st 여주아울렛,37.2430186886,127.616400323,3.0
167,당항포관광지,35.0532261508,128.3920276219,1.0
170,의림지 공영주차장,37.1758154,128.2114765,2.0
171,숭덕재활원,36.9505150257,127.92162752850001,1.0
173,이순신공원,34.84425936,128.4419451,3.0
174,봉산면서부로,35.623625,128.039857,1.0
175,상무시민공원,35.15339511,126.8410975,1.0
176,풍암호수공원,35.126653000000005,126.86893500000001,1.0
178,"서서울톨게이트,(서울방향)졸음쉼터 내",37.357642,126.8650475,1.0
179,선문대학교 내,36.801041257600005,127.075732835,1.0
180,"서서울톨게이트,(목포방향)졸음쉼터 내",37.3549176,126.8619896,1.0
182,영남이공대학교 기계공학관 맞은편 공터,35.84767574,128.58417260000002,1.0
183,대구 남구 대덕문화전당 주차장 내,35.83129333,128.57697040000002,2.0
184,자연학습공원,37.3071076256,126.95314577309999,1.0
185,인천가족공원,37.4774802146,126.7167686974,1.0
187,칠곡군,36.018344,128.401163,1.0
190,관악구민종합체육센터,37.473014,126.960306,1.0
191,(코로나19로 잠정 운영 중단)이천농업테마공원 공원부지,37.17960623,127.44530470000001,2.0
192,순천향대학교 내,36.7681453,127.02072363030001,2.0
193,온양온천시장 이벤트광장(푸드트럭존),36.7836861152,127.0015099169,8.0
194,푸드트럭허가구역,34.67887939,126.90359099999999,1.0
195,춘향골체육공원,35.43086752,127.4054607,1.0
197,지세포친수공간,34.8391865,128.7012365,4.0
198,거제시보건소,34.89168827,128.6365616,4.0
199,거제시청,34.88052883,128.6208143,4.0
200,북서울꿈의숲,37.62025563,127.04432539999999,2.0
201,오장폭포주차장,37.540046000000004,128.749125,1.0
202,독산역 2번출구 앞 광장,37.4659873169,126.8895141687,3.0
203,신포청년몰,37.47045702,126.62752160000001,1.0
204,당진시청,36.8897414295,126.6459710322,1.0
205,서해안고속도로 당진 졸음쉼터(상행),36.9007504337,126.71846873790001,1.0
206,서해안고속도로 당진 졸음쉼터(하행),36.9007504337,126.71846873790001,1.0
207,당진1동행정복지센터,36.8932229634,126.6271384175,1.0
208,한밭야구장,36.3173370007,127.42801382340001,1.0
210,남항대교 하부,35.08212632,129.0390876,2.0
211,중앙체육공원,35.9497295074,126.9861273792,1.0
212,남광주시장,35.1389375,126.92187220000001,9.0
213,아시아문화전당,35.14691559,126.9199945,8.0
216,인천대학교 BTL생활원 부속시설,37.3778557116,126.632505295,1.0
217,인천송도국제캠핑장,37.3615808115,126.6458775369,2.0
221,문화체육회관,38.108303,127.9843733,2.0
222,레포츠공원,38.062397,127.58544099999999,2.0
223,테니스파크,38.1170017,127.98865719999999,2.0
224,용하체육관,38.10886370000001,128.03524380000002,2.0
225,청춘체육관,38.1142268367,127.98711596700001,2.0
232,경부선연곡졸음쉼터내영업허용장소,36.95431265,127.1830068,1.0
233,대명리조트,36.75731116,127.22409579999999,1.0
234,덕풍천 자전거 휴게소 내,37.549601,127.21901100000001,2.0
235,풍산근린2호공원,37.55052835,127.2012278,1.0
236,남해고속도로지수졸음쉼터,35.208321280999996,128.258276558,1.0
237,영업자가 신청하여 지정하는 장소,35.18416483,128.111266,1.0
238,도시공원,35.205654963,128.126341857,1.0
240,청남대별장푸드,36.5075343785,127.52275645620001,1.0
242,츄로츄러스,36.6204748261,127.32714346540001,1.0
243,도담다방,36.6637451659,127.4658131034,1.0
244,야미(Yummy),36.6204748261,127.32714346540001,1.0
245,츄러스브로,36.6451741075,127.4216434471,1.0
247,갈모봉산림욕장,34.976634000000004,128.26856899999999,1.0
248,화진포관광지,38.4725044072,128.4430193,1.0
249,기타장소,38.3873254512,128.4149482673,1.0
250,봉포리 상상마당,38.2603941,128.5408803,1.0
251,평사리공원,35.13538984,127.6912571,1.0
252,신례천로옆,33.2858916981,126.6351597563,1.0
257,의성조문국사적지,36.273959399999995,128.668181,1.0
258,빙계군립공원,36.2291709,128.756566,1.0
259,이월드,35.85485186,128.56481680000002,1.0
260,온천공원,37.282172136,127.453705784,0.0
261,농업테마파크,37.17960797,127.44530870000001,0.0
262,버닝웍,36.6451741075,127.4216434471,1.0
263,매튜516,36.6451741075,127.4216434471,1.0
264,대로식당,36.6451741075,127.4216434471,1.0
265,이카 타코야끼,36.6451741075,127.4216434471,1.0
267,서동생활공원,35.31545351,128.25589309999998,1.0
268,경산생활체육공원,35.82111713,128.7437733,1.0
269,삼성현역사문화공원,35.80168834,128.7966117,1.0
270,경일대학교,35.91106895,128.8020451,1.0
271,대구한의대학교,35.79398805,128.7773243,1.0
280,만항재,37.159372999999995,128.900325,1.0
281,남양주체육문화센터 푸드트럭존,37.60592685,127.1777885,1.0
282,진건도서관,37.65513558,127.1774389,1.0
283,별내체육공원,37.65972953,127.12135990000002,1.0
284,다산동사무소,37.6139266,127.1555493,1.0
285,금오랜드,36.1133043401,128.3155848682,1.0
288,기장군청,35.24348158,129.222956,1.0
